,ITEM,References,Value,Footprint,Quantity
300EA 구매완료,1,"C1, C2, C5, C6, C9, C10, C13, C15, C19, C21, C22, C23, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C59, C61, C62, C64, C65, C66, C69, C71, C72, C74",100n,C_0402_1005Metric,35
200개 장바구니,2,"C41, C42, C43, C44, C45, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C67",1uF,C_0402_1005Metric,18
100EA 구매완료,3,"C3, C4, C8, C18, C20, C24, C25, C26",10u,C_0805_2012Metric,8
100개 장바구니,4,"C46, C60, C63, C68, C70",10uF,C_0402_1005Metric,5
30개 장바구니,5,"C7, C17, C40",22u,C_0805_2012Metric,3
100개 장바구니,6,"C11, C12, C16",22pF,C_0402_1005Metric,3
20개 장바구니,7,"C14, C73",100uF,CP_EIA-3528-21_Kemet-B,2
100개 장바구니,8,"R25, R32, R42, R43, R44, R45, R50, R51, R52, R53",0,R_0603_1608Metric,10
100개 장바구니,9,"R12, R13, R14, R15, R19, R20, R21, R22",5.1K 5%,R_0402_1005Metric,8
100개 장바구니,10,"R1, R2, R3, R4, R5, R9, R35",15K 1%,R_0402_1005Metric,7
100개 장바구니,11,"R17, R23, R24, R33, R34",0,R_0402_1005Metric,5
100개 장바구니,12,"R46, R47, R48, R49",1k,R_0603_1608Metric,4
100개 장바구니,13,"R28, R29, R30",10,R_0603_1608Metric,3
50개 장바구니,14,"R10, R11",470R,R_0402_1005Metric,2
50개 장바구니,15,"R16, R18",2.2K 1%,R_0402_1005Metric,2
50개 장바구니,16,"R26, R31",10k,R_0402_1005Metric,2
50개 장바구니,17,R6,12K 1%,R_0402_1005Metric,1
50개 장바구니,18,R7,16K,R_0402_1005Metric,1
30개 장바구니,19,R8,6.04K,R_0402_1005Metric,1
50개 장바구니,20,R27,10,R_0402_1005Metric,1
50개 장바구니,21,R36,30K 1%,R_0402_1005Metric,1
40EA 구매완료,22,"L1, L3",BLM18AG221SN1,L_0603_1608Metric,2
10개 장바구니,23,L2,2.2uH,L_1008_2520Metric,1
40EA 구매완료,24,"U5, U6, U7",TPD4EUSB30,USON-10_2.5x1.0mm_P0.5mm,3
10EA 구매완료,25,U1,RT9742SNGV,SOT-23,1
2EA 구매완료,26,U2,ISO1540,SOIC-8_3.9x4.9mm_P1.27mm,1
10EA 구매완료,27,U3,VL805,QFN-68-1EP_8x8mm_P0.4mm_EP5.2x5.2mm_ThermalVias,1
10EA 구매완료,28,U4,AP22653W6,SOT-23-6,1
3EA 구매완료,29,U8,AP3445,TSOT-23-6,1
3EA 구매완료,30,U9,SI8663BB-B-IS1,SI8663BB-B-IS1,1
30EA 구매완료,31,U10,ac108,AC108,1
5EA 구매완료,32,U11,TCR3RM33,TCR3RM33,1
5EA 구매완료,33,U12,TCR3RM33,TCR3RM33,1
10EA 구매완료,34,Y1,25MHz,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,1
2EA 구매완료,35,X1,ASE-24.000MHz,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1
3EA 구매완료,36,"PS1, PS2",R05CTE05S-R,SOIC127P1030X265-16N,2
30EA 구매완료,37,CM4_MODULE1,ComputeModule4-CM4,Raspberry-Pi-4-Compute-Module,1
10EA 구매완료,38,Q1,DMG1012T,SOT-523,1
40EA 구매완료,39,"J6, J7, J10",Conn_01x10,PinHeader_1x10_P2.54mm_Vertical,3
5EA 구매완료,40,"J4, J5",1054500101,MOLEX_105450-0101,2
40EA 구매완료,41,"J8, J9",Conn_01x10,PinSocket_1x10_P2.54mm_Vertical,2
3EA 구매완료,42,J1,HDMI,6.85119E+11,1
10EA 구매완료,43,J2,JK00177,RJ45_Pulse_JK00177NL_Horizontal,1
10EA 구매완료,44,J3,USB3_A,MTCONN_UBAF30-D2011,1
10EA 구매완료,45,J11,MIC1,GROVE_4PIN,1
10EA 구매완료,46,J12,MIC2,GROVE_4PIN,1
10EA 구매완료,47,J13,MIC3,GROVE_4PIN,1
10EA 구매완료,48,J14,MIC4,GROVE_4PIN,1
